0.375,0.231,0.396,0.7
0.375,0.354,0.376,0.7
0.425,0.246,0.376,0.6
0.375,0.246,0.376,0.7
0.419,0.392,0.396,0.8
0.563,0.538,0.149,0.2
0.553,0.504,0.149,0.2
0.544,0.469,0.149,0.2
0.975,0.692,0.891,0.2
0.844,0.423,0.545,0.2
0.975,0.692,0.891,0.2
0.1,0.123,0.158,0.1
0.1,0.123,0.158,0.1
0.888,0.538,0.099,0.1
0.913,0.569,0.109,0.1
0.894,0.577,0.099,0.1
0.938,0.308,0.396,0.7
0.956,0.369,0.287,1
0.881,0.3,0.297,0.8
0.563,0.469,0.495,0.5
0.431,0.208,0.188,0.5
0.481,0.2,0.218,0.5
0.575,0.077,0.119,0.2
0.575,0.077,0.119,0.2
0.575,0.077,0.119,0.2
1,0.269,0.198,0.2
0.969,0.269,0.149,0.2
0.938,0.269,0.099,0.2
0.125,0.154,0.198,0.1
0.375,0.462,0.594,0.1
0.913,0.462,0.594,0.2
0.95,0.592,0.762,0.2
0.944,0.846,0.931,0.2
0.875,0.923,1,0.2
0.625,0.538,0.396,0.1
0.5,0.423,0.347,0.1
0.563,0.481,0.371,0.1
0.75,0.715,0.921,0.3
0.969,0.885,0.842,0.3
0.867,0.823,0.97,0.2
0.481,0.2,0.149,0.2
0.319,0.162,0.099,0.2
0.25,0.138,0.099,0.2
0.463,0.554,0.673,0.1
0.413,0.477,0.594,0.1
0.175,0.215,0.109,0.1
0.131,0.162,0.099,0.1
0.163,0.2,0.099,0.1
0.163,0.177,0.099,0.1
0.656,0.569,0.218,0.2
0.813,0.723,0.139,0.3
0.938,0.338,0.099,0.2
0.938,0.485,0.198,0.2
0.406,0.5,0.644,0.1
0.5,0.615,0.792,0.1
0.188,0.231,0.297,0.1
0.438,0.538,0.693,0.1
0.344,0.423,0.545,0.1
0.269,0.077,0.099,0.1
0.269,0.077,0.099,0.1
0.325,0.231,0.129,0.3
0.325,0.231,0.129,0.3
0.325,0.231,0.129,0.3
0.719,0.885,0.198,0.1
0.813,1,0.218,0.1
0.469,0.577,0.604,0.1
0.75,0.923,0.495,0.1
0.75,0.146,0.188,0.2
0.844,0.131,0.168,0.2
0.75,0.146,0.188,0.2
0.844,0.131,0.168,0.2
0.294,0.315,0.05,0.1
0.475,0.554,0.05,0.1
0.475,0.585,0.05,0.1
0.438,0.077,0.099,0.1
0.438,0.077,0.099,0.1
0.188,0.2,0.198,0.2
0.181,0.223,0.119,0.1
0.188,0.192,0.178,0.1
0.2,0.208,0.218,0.1
0.913,0.315,0.257,0.4
1,0.869,0.842,0.2
0.956,0.177,0.149,0.5
0.956,0.177,0.149,0.5
0.831,0.185,0.149,0.5
0.556,0.577,0.743,0.1
0.563,0.615,0.792,0.1
0.563,0.577,0.743,0.1
