0.375,0.231,0.396,0.700,0.500,0.406,0.006
0.375,0.354,0.376,0.700,0.500,0.500,0.500
0.425,0.246,0.376,0.600,0.171,0.198,0.312
0.375,0.246,0.376,0.700,0.353,0.235,0.118
0.938,0.308,0.396,0.700,0.061,0.008,0.329
0.956,0.369,0.287,1.000,0.210,0.084,0.318
0.881,0.300,0.297,0.800,0.139,0.347,0.280
0.888,0.538,0.099,0.100,0.290,0.273,0.165
0.913,0.569,0.109,0.100,0.500,0.500,0.500
0.894,0.577,0.099,0.100,0.100,0.100,0.100
0.463,0.554,0.673,0.100,0.271,0.012,0.002
0.413,0.477,0.594,0.100,0.331,0.416,0.169
0.175,0.215,0.109,0.100,0.427,0.422,0.235
0.131,0.162,0.099,0.100,0.427,0.422,0.235
0.163,0.200,0.099,0.100,0.427,0.431,0.433
