0.375,0.231,0.396,0.700,0.500,0.406,0.006
0.375,0.354,0.376,0.700,0.500,0.500,0.500
0.425,0.246,0.376,0.600,0.171,0.198,0.312
0.375,0.246,0.376,0.700,0.353,0.235,0.118
0.419,0.392,0.396,0.800,0.500,0.322,0.057
0.563,0.538,0.149,0.200,0.100,0.220,0.376
0.553,0.504,0.149,0.200,0.378,0.056,0.047
0.544,0.469,0.149,0.200,0.047,0.224,0.135
0.975,0.692,0.891,0.200,0.500,0.500,0.500
0.844,0.423,0.545,0.200,0.459,0.100,0.186
0.975,0.692,0.891,0.200,0.133,0.447,0.118
0.100,0.123,0.158,0.100,0.100,0.220,0.376
0.100,0.123,0.158,0.100,0.500,0.500,0.500
0.888,0.538,0.099,0.100,0.290,0.273,0.165
0.913,0.569,0.109,0.100,0.500,0.500,0.500
0.894,0.577,0.099,0.100,0.100,0.100,0.100
0.938,0.308,0.396,0.700,0.061,0.008,0.329
0.956,0.369,0.287,1.000,0.210,0.084,0.318
0.881,0.300,0.297,0.800,0.139,0.347,0.280
0.563,0.469,0.495,0.500,0.069,0.227,0.245
0.431,0.208,0.188,0.500,0.500,0.500,0.500
0.481,0.200,0.218,0.500,0.000,0.000,0.000
0.575,0.077,0.119,0.200,0.500,0.500,0.000
0.575,0.077,0.119,0.200,0.500,0.200,0.000
0.575,0.077,0.119,0.200,0.000,0.251,0.000
1.000,0.269,0.198,0.200,0.488,0.496,0.382
0.969,0.269,0.149,0.200,0.324,0.324,0.324
0.938,0.269,0.099,0.200,0.093,0.407,0.254
0.125,0.154,0.198,0.100,0.488,0.496,0.382
0.375,0.462,0.594,0.100,0.296,0.141,0.014
0.913,0.462,0.594,0.200,0.073,0.126,0.229
0.950,0.592,0.762,0.200,0.500,0.131,0.255
0.944,0.846,0.931,0.200,0.500,0.500,0.500
0.875,0.923,1.000,0.200,0.000,0.000,0.000
0.625,0.538,0.396,0.100,0.384,0.384,0.494
0.500,0.423,0.347,0.100,0.476,0.222,0.220
0.563,0.481,0.371,0.100,0.470,0.480,0.420
0.750,0.715,0.921,0.300,0.000,0.459,0.371
0.969,0.885,0.842,0.300,0.361,0.000,0.000
0.867,0.823,0.970,0.200,0.500,0.500,0.500
0.481,0.200,0.149,0.200,0.406,0.408,0.412
0.319,0.162,0.099,0.200,0.406,0.408,0.412
0.250,0.138,0.099,0.200,0.422,0.426,0.426
0.463,0.554,0.673,0.100,0.271,0.012,0.002
0.413,0.477,0.594,0.100,0.331,0.416,0.169
0.175,0.215,0.109,0.100,0.427,0.422,0.235
0.131,0.162,0.099,0.100,0.427,0.422,0.235
0.163,0.200,0.099,0.100,0.427,0.431,0.433
0.163,0.177,0.099,0.100,0.427,0.431,0.433
0.656,0.569,0.218,0.200,0.282,0.188,0.094
0.813,0.723,0.139,0.300,0.200,0.200,0.500
0.938,0.338,0.099,0.200,0.088,0.353,0.404
0.938,0.485,0.198,0.200,0.500,0.084,0.001
0.406,0.500,0.644,0.100,0.498,0.498,0.020
0.500,0.615,0.792,0.100,0.096,0.263,0.304
0.188,0.231,0.297,0.100,0.500,0.500,0.500
0.438,0.538,0.693,0.100,0.471,0.222,0.022
0.344,0.423,0.545,0.100,0.100,0.400,0.100
0.269,0.077,0.099,0.100,0.427,0.222,0.024
0.269,0.077,0.099,0.100,0.000,0.000,0.000
0.325,0.231,0.129,0.300,0.100,0.100,0.500
0.325,0.231,0.129,0.300,0.500,0.400,0.000
0.325,0.231,0.129,0.300,0.500,0.100,0.300
0.719,0.885,0.198,0.100,0.488,0.496,0.382
0.813,1.000,0.218,0.100,0.500,0.500,0.500
0.469,0.577,0.604,0.100,0.408,0.000,0.000
0.750,0.923,0.495,0.100,0.341,0.484,0.000
0.750,0.146,0.188,0.200,0.043,0.006,0.233
0.844,0.131,0.168,0.200,0.020,0.020,0.020
0.750,0.146,0.188,0.200,0.345,0.010,0.010
0.844,0.131,0.168,0.200,0.000,0.157,0.000
0.294,0.315,0.050,0.100,0.500,0.500,0.500
0.475,0.554,0.050,0.100,0.473,0.302,0.026
0.475,0.585,0.050,0.100,0.465,0.022,0.153
0.438,0.077,0.099,0.100,0.200,0.100,0.000
0.438,0.077,0.099,0.100,0.492,0.055,0.229
0.188,0.200,0.198,0.200,0.076,0.231,0.333
0.181,0.223,0.119,0.100,0.145,0.031,0.190
0.188,0.192,0.178,0.100,0.465,0.469,0.469
0.200,0.208,0.218,0.100,0.110,0.376,0.024
0.913,0.315,0.257,0.400,0.500,0.500,0.433
1.000,0.869,0.842,0.200,0.076,0.076,0.076
0.956,0.177,0.149,0.500,0.406,0.408,0.412
0.956,0.177,0.149,0.500,0.406,0.408,0.412
0.831,0.185,0.149,0.500,0.400,0.400,0.400
0.556,0.577,0.743,0.100,0.443,0.216,0.071
0.563,0.615,0.792,0.100,0.500,0.500,0.500
0.563,0.577,0.743,0.100,0.076,0.231,0.333
